Property ID,Amount
40544713,11852.19
15174832,8623.86
52961097,7485.42
68648267,12600.00
63641317,6022.32
7798746,7500.00
70913206,8500.00
40176286,6000.00
70880760, 20.000.00
53365056,9806.00
58968600,37407.63
14586051,20000.00
26970139,18204.49
67690536,1482.99
47345302,4370.14
67041048,14817.62
75514409,9999.78
9097740,5869.95
33710076,6658.72
18662662,9340.03
39856009,4928.40
62518159,24526.48
74651857,3328.22
3655995,16842.38
9138074,12327.89
11809209,49362.23
17370004,176.86
68561513,22006.68
68561514,23717.16
62268264,1451.93
56494717,12990.21
68913768,13353.70
62277383,3182.25
40060685,10905.32
72368035,34989.00
77969294,10000.00
74593280,44690.00
35982366,11338.51
78876339,20000.00
